Date,UAH
2023-07-31 09:57:00.694,5.0
2023-07-31 09:57:00.767,4609.52
2023-07-31 09:57:00.778,314.29
2023-07-31 09:57:00.847,5.0
2023-07-31 09:59:00.795,16866.66
2023-07-31 09:59:00.924,42.17
2023-07-31 12:57:00.478,15.0
2023-07-31 12:57:00.720,2960000.0
2023-08-03 10:40:00.213,15.0
2023-08-03 10:40:00.437,915000.0
2023-08-07 08:07:00.155,21000.0
2023-08-07 08:07:00.212,5.0
2023-08-07 08:07:00.286,40707.0
2023-08-07 08:07:00.365,5.0
2023-08-07 08:07:00.452,30000.0
2023-08-07 08:07:00.519,5.0
2023-08-15 07:53:00.563,3443.48
2023-08-15 07:53:00.622,5.0
2023-08-15 07:53:00.710,4208.7
2023-08-15 07:53:00.776,5.0
2023-08-15 07:53:00.861,286.96
2023-08-15 07:53:00.935,5.0
2023-08-15 07:55:00.035,15400.0
2023-08-15 07:55:00.152,38.5
2023-08-15 09:04:00.261,15.0
2023-08-15 09:04:00.308,3525000.0
2023-08-16 08:21:00.105,13800.0
2023-08-18 09:59:00.844,13800.0
2023-08-21 11:12:00.153,1066000.0
2023-08-28 12:01:00.534,7515000.0
2023-08-31 05:02:00.023,5.0
2023-08-31 05:02:00.796,30000.0
2023-08-31 05:02:00.873,5.0
2023-08-31 05:02:00.944,30000.0
2023-08-31 05:07:00.058,3756.52
2023-08-31 05:07:00.208,4591.3
2023-08-31 05:07:00.226,5.0
2023-08-31 05:07:00.295,5.0
2023-08-31 05:07:00.903,313.04
2023-08-31 05:07:00.978,5.0
2023-08-31 05:08:00.738,42.0
2023-08-31 05:09:00.811,16800.0
2023-08-31 05:29:00.178,29995.88
2023-08-31 05:29:00.252,5.0
2023-08-31 10:13:00.488,149.0
2023-09-04 08:54:00.890,69348.0
2023-09-04 08:54:00.970,5.0
2023-09-05 12:20:00.968,174420.0
2023-09-06 09:03:00.272,99800.0
2023-09-06 09:03:00.884,5.0
2023-09-08 08:54:00.307,950000.0
2023-09-08 08:54:00.640,15.0
2023-09-12 08:02:00.351,2507.0
2023-09-12 08:02:00.926,5.0
2023-09-12 10:53:00.049,3525000.0
2023-09-12 10:53:00.528,15.0
2023-09-13 11:58:00.167,15.0
2023-09-13 11:58:00.191,3552000.0
2023-09-14 11:50:00.023,5.0
2023-09-14 11:50:00.187,533000.0
2023-09-14 11:50:00.397,53400.0
2023-09-15 08:04:00.539,4609.52
2023-09-15 08:04:00.595,5.0
2023-09-15 08:04:00.671,314.29
2023-09-15 08:04:00.758,5.0
2023-09-15 08:04:00.824,3771.43
2023-09-15 08:04:00.901,5.0
2023-09-15 08:08:00.479,42.17
2023-09-15 08:09:00.555,16866.66
2023-09-20 10:47:00.346,15.0
2023-09-20 10:47:00.669,1929000.0
2023-09-20 10:47:00.743,1290000.0
2023-09-21 07:05:00.093,63894.0
2023-09-21 07:05:00.169,5.0
2023-09-29 06:19:00.044,382000.0
2023-09-29 06:19:00.168,44000.0
2023-09-29 06:19:00.468,5.0
2023-09-29 06:19:00.533,5.0
2023-09-29 06:19:00.604,15.0
2023-09-29 06:19:00.986,47600.0
2023-09-29 10:15:00.026,149.0
2023-09-29 10:31:00.370,7341.43
2023-09-29 10:31:00.463,5.0
2023-09-29 10:31:00.526,8972.86
2023-09-29 10:31:00.608,5.0
2023-09-29 10:31:00.680,611.79
2023-09-29 10:31:00.754,5.0
2023-09-29 10:36:00.215,82.08
2023-09-29 10:37:00.743,32832.5
2023-10-03 08:42:00.435,35000.0
2023-10-03 08:42:00.498,5.0
2023-10-03 08:42:00.578,61105.0
2023-10-03 08:42:00.664,5.0
2023-10-04 11:42:00.859,31230.0
2023-10-04 11:42:00.922,5.0
2023-10-12 12:27:00.476,5.0
2023-10-12 12:27:00.834,22000.0
2023-10-12 12:28:00.905,4755.0
2023-10-16 12:13:00.326,7335.0
2023-10-16 12:13:00.410,5.0
2023-10-16 12:13:00.477,8965.0
2023-10-16 12:13:00.558,5.0
2023-10-16 12:13:00.641,611.25
2023-10-16 12:13:00.709,5.0
2023-10-16 12:16:00.485,82.01
2023-10-16 12:17:00.557,32803.75
2023-10-18 09:39:00.324,30000.0
2023-10-18 09:39:00.498,5.0
2023-10-19 12:54:00.017,192000.0
2023-10-19 12:54:00.103,5.0
2023-10-19 12:54:00.169,15.0
2023-10-19 12:54:00.255,15.0
2023-10-19 12:54:00.778,64000.0
2023-10-19 12:54:00.846,112000.0
2023-10-19 12:54:00.927,144000.0
2023-10-20 09:01:00.133,3216000.0
2023-10-20 09:01:00.727,15000.0
2023-10-20 09:01:00.875,5.0
2023-10-20 09:01:00.941,15.0
2023-10-24 05:56:00.032,5826.0
2023-10-24 05:56:00.102,5.0
2023-10-24 12:15:00.522,1222.0
2023-10-31 07:07:00.463,611.25
2023-10-31 07:07:00.532,5.0
2023-10-31 07:07:00.613,8965.0
2023-10-31 07:07:00.689,5.0
2023-10-31 07:07:00.776,7335.0
2023-10-31 07:07:00.854,5.0
2023-10-31 07:09:00.056,82.01
2023-10-31 07:10:00.141,32803.75
2023-10-31 12:31:00.151,15.0
2023-10-31 12:31:00.293,5.0
2023-10-31 12:31:00.436,96000.0
2023-10-31 12:31:00.510,160000.0
2023-10-31 12:31:00.592,48000.0
2023-10-31 12:51:00.640,64000.0
2023-10-31 18:57:00.531,149.0
2023-11-01 18:57:00.601,4059600.0
2023-11-03 12:38:00.244,176000.0
2023-11-03 12:38:00.322,160000.0
2023-11-03 12:38:00.392,80000.0
2023-11-03 12:38:00.466,80000.0
2023-11-03 12:38:00.549,70400.0
2023-11-03 12:38:00.752,15.0
2023-11-03 12:38:00.831,15.0
2023-11-03 12:38:00.899,5.0
2023-11-06 09:26:00.090,5.0
2023-11-06 09:26:00.168,30000.0
2023-11-06 09:26:00.239,5.0
2023-11-06 09:26:00.608,20000.0
2023-11-07 11:23:00.007,5.0
2023-11-07 11:23:00.367,2498.0
2023-11-07 11:23:00.833,878.0
2023-11-07 11:23:00.907,50509.0
2023-11-08 08:24:00.258,2999.0
2023-11-08 08:24:00.552,3216000.0
2023-11-08 08:24:00.934,15.0
2023-11-08 10:53:00.027,208000.0
2023-11-08 10:53:00.481,5.0
2023-11-08 10:53:00.558,15.0
2023-11-08 10:53:00.650,64000.0
2023-11-08 10:53:00.730,96000.0
2023-11-08 10:53:00.789,128000.0
2023-11-08 10:53:00.876,224000.0
2023-11-08 10:53:00.947,160000.0
2023-11-09 11:15:00.048,213850.0
2023-11-09 11:15:00.922,15.0
2023-11-10 10:24:00.475,382000.0
2023-11-10 10:24:00.802,15.0
2023-11-13 09:07:00.433,5.0
2023-11-13 09:07:00.559,38000.0
2023-11-14 09:53:00.326,7000.0
2023-11-14 09:53:00.502,5.0
2023-11-16 06:32:00.017,80000.0
2023-11-16 06:32:00.078,16180.0
2023-11-16 06:32:00.154,256000.0
2023-11-16 06:32:00.236,48000.0
2023-11-16 06:32:00.317,36000.0
2023-11-16 06:32:00.397,224000.0
2023-11-16 06:32:00.481,90000.0
2023-11-16 06:32:00.551,36000.0
2023-11-16 06:32:00.590,5.0
2023-11-16 06:32:00.666,5.0
2023-11-16 06:32:00.746,5.0
2023-11-16 06:32:00.822,5.0
2023-11-20 04:17:00.231,5.0
2023-11-20 04:17:00.875,11544.0
2023-11-20 04:25:00.044,1365.0
2023-11-20 04:25:00.121,5.0
2023-11-20 04:25:00.207,16380.0
2023-11-20 04:25:00.278,5.0
2023-11-20 04:25:00.357,20020.0
2023-11-20 04:25:00.440,5.0
2023-11-20 04:28:00.389,183.14
2023-11-20 04:29:00.465,73255.0
2023-11-20 07:37:00.333,15.0
2023-11-20 07:37:00.833,1600000.0
2023-11-21 11:00:00.400,35717.92
2023-11-21 11:00:00.852,5.0
2023-11-21 11:11:00.164,3878.0
2023-11-22 06:46:00.435,5.0
2023-11-22 06:46:00.603,18400.0
2023-11-23 06:06:00.492,305600.0
2023-11-23 06:06:00.969,15.0
2023-11-23 08:48:00.171,420.0
2023-11-27 07:32:00.391,3738.0
2023-11-27 11:13:00.381,96000.0
2023-11-27 11:13:00.456,96000.0
2023-11-28 09:24:00.516,3690000.0
2023-11-28 09:24:00.637,15.0
2023-11-28 10:14:00.195,15.0
2023-11-28 10:14:00.481,1200000.0
2023-11-29 08:17:00.635,10200.0
2023-11-30 08:07:00.010,5.0
2023-11-30 08:07:00.088,1365.0
2023-11-30 08:07:00.168,5.0
2023-11-30 08:07:00.246,7290.0
2023-11-30 08:07:00.334,5.0
2023-11-30 08:07:00.407,20020.0
2023-11-30 08:07:00.492,5.0
2023-11-30 08:07:00.622,8910.0
2023-11-30 08:07:00.693,5.0
2023-11-30 08:07:00.776,607.5
2023-11-30 08:07:00.849,5.0
2023-11-30 08:07:00.929,16380.0
2023-11-30 08:12:00.917,264.64
2023-11-30 08:12:00.994,105857.5
2023-12-04 11:21:00.929,196800.0
2023-12-04 11:21:00.986,15.0
2023-12-06 09:46:00.393,21800.0
2023-12-07 06:22:00.841,5.0
2023-12-07 06:22:00.904,38360.0
2023-12-08 08:00:00.413,31500.0
2023-12-08 08:00:00.490,5.0
2023-12-08 10:39:00.736,1330.0
2023-12-08 10:39:00.819,5.0
2023-12-08 10:39:00.894,8948.0
2023-12-08 10:39:00.973,5.0
2023-12-11 09:07:00.128,9984.0
2023-12-11 09:07:00.372,5.0
2023-12-11 09:07:00.448,5.0
2023-12-11 09:07:00.894,58596.0
2023-12-11 09:16:00.702,1968000.0
2023-12-11 09:16:00.725,15.0
2023-12-11 11:54:00.384,5.0
2023-12-11 11:54:00.758,37774.0
2023-12-12 08:44:00.258,11422.0
2023-12-12 08:44:00.322,10.0
2023-12-12 08:45:00.770,5400.0
2023-12-13 04:35:00.016,179200.0
2023-12-13 04:35:00.088,169600.0
2023-12-13 04:35:00.168,208000.0
2023-12-13 04:35:00.245,217600.0
2023-12-13 04:35:00.312,96000.0
2023-12-13 04:35:00.323,153600.0
2023-12-13 04:35:00.357,5.0
2023-12-13 04:35:00.403,14000.0
2023-12-13 04:35:00.433,15.0
2023-12-13 04:35:00.464,132000.0
2023-12-13 04:35:00.481,67200.0
2023-12-13 04:35:00.523,15.0
2023-12-13 04:35:00.536,469350.0
2023-12-13 04:35:00.597,5.0
2023-12-13 04:35:00.623,90000.0
2023-12-13 04:35:00.679,15.0
2023-12-13 04:35:00.693,236800.0
2023-12-13 04:35:00.757,15.0
2023-12-13 04:35:00.771,233600.0
2023-12-13 04:35:00.840,15.0
2023-12-13 04:35:00.850,201600.0
2023-12-13 04:35:00.935,214400.0
2023-12-13 04:36:00.917,5.0
2023-12-13 04:45:00.057,108000.0
2023-12-13 04:45:00.134,120000.0
2023-12-13 04:45:00.436,5.0
2023-12-13 04:45:00.513,15.0
2023-12-13 04:45:00.597,15.0
2023-12-13 04:45:00.998,84000.0
2023-12-13 04:48:00.102,5.0
2023-12-13 04:48:00.993,59416.0
2023-12-13 11:36:00.182,28048.0
2023-12-13 11:36:00.772,5.0
2023-12-14 10:26:00.684,74000.0
2023-12-14 10:26:00.954,5.0
2023-12-15 11:09:00.025,15.0
2023-12-15 11:09:00.650,1771200.0
2023-12-18 07:21:00.063,5.0
2023-12-18 07:21:00.136,17160.0
2023-12-18 07:21:00.757,20973.33
2023-12-18 07:21:00.827,5.0
2023-12-18 07:21:00.908,5.0
2023-12-18 07:21:00.988,1430.0
2023-12-18 07:24:00.388,76743.33
2023-12-18 07:24:00.964,191.86
2023-12-18 07:34:00.535,299880.0
2023-12-18 07:34:00.584,15.0
2023-12-20 08:05:00.758,185600.0
2023-12-20 08:05:00.762,384000.0
2023-12-22 07:29:00.129,15.0
2023-12-22 07:29:00.722,930000.0
2023-12-22 09:42:00.292,77350.0
2023-12-22 09:42:00.331,82800.0
2023-12-22 09:42:00.871,5.0
2023-12-22 12:37:00.386,2272250.0
2023-12-22 12:37:00.893,15.0
2023-12-22 12:48:00.002,15.0
2023-12-22 12:48:00.470,962912.5
2023-12-26 06:35:00.423,299880.0
2023-12-26 06:35:00.750,15.0
2023-12-27 07:49:00.377,22090.0
2023-12-27 10:40:00.980,1801.0
2023-12-28 10:26:00.026,25616.0
2023-12-28 10:26:00.095,5.0
2023-12-28 10:26:00.880,18873.0
2023-12-28 10:26:00.934,5.0
2023-12-29 05:25:00.044,15600.0
2023-12-29 05:25:00.113,5.0
2023-12-29 05:25:00.187,1300.0
2023-12-29 05:25:00.267,5.0
2023-12-29 05:25:00.355,658.5
2023-12-29 05:25:00.432,5.0
2023-12-29 05:25:00.512,7902.0
2023-12-29 05:25:00.586,5.0
2023-12-29 05:25:00.669,19066.67
2023-12-29 05:25:00.741,5.0
2023-12-29 05:25:00.829,9658.0
2023-12-29 05:25:00.896,5.0
2023-12-29 05:32:00.079,262.77
2023-12-29 05:33:00.147,105106.17
2023-12-29 06:33:00.000,329600.0
2023-12-29 06:33:00.017,108000.0
2023-12-29 06:33:00.059,5.0
2023-12-29 06:33:00.083,108000.0
2023-12-29 06:33:00.125,15.0
2023-12-29 06:33:00.163,259200.0
2023-12-29 06:33:00.210,15.0
2023-12-29 06:33:00.241,252800.0
2023-12-29 06:33:00.318,138000.0
2023-12-29 06:33:00.388,272000.0
2023-12-29 06:33:00.404,11200.0
2023-12-29 06:33:00.454,191100.0
2023-12-29 06:33:00.455,15.0
2023-12-29 06:33:00.478,278400.0
2023-12-29 06:33:00.538,26600.0
2023-12-29 06:33:00.546,15.0
2023-12-29 06:33:00.550,268800.0
2023-12-29 06:33:00.613,15.0
2023-12-29 06:33:00.624,108000.0
