Date,Category,UAH
2023-03-10 07:40:03.966,Люті пташки,500.0
2023-03-10 07:40:03.973,Люті пташки,36.0
2023-03-10 07:46:03.001,Люті пташки,100.0
2023-03-10 07:46:03.025,Люті пташки,80.0
2023-03-10 07:46:03.066,Люті пташки,100.0
2023-03-10 07:46:03.074,Люті пташки,150.0
2023-03-10 07:46:03.105,Люті пташки,100.0
2023-03-10 07:46:03.142,Люті пташки,100.0
2023-03-10 07:46:03.177,Люті пташки,15.0
2023-03-10 07:46:03.222,Люті пташки,200.0
2023-03-10 07:46:03.230,Люті пташки,58.0
2023-03-10 07:46:03.296,Люті пташки,500.0
2023-03-10 07:46:03.298,Люті пташки,12.0
2023-03-10 07:46:03.311,Люті пташки,300.0
2023-03-10 07:46:03.360,Люті пташки,20.0
2023-03-10 07:46:03.375,Люті пташки,200.0
2023-03-10 07:46:03.390,Люті пташки,30.0
2023-03-10 07:46:03.436,Люті пташки,500.0
2023-03-10 07:46:03.456,Люті пташки,30.0
2023-03-10 07:46:03.471,Люті пташки,20.0
2023-03-10 07:46:03.518,Люті пташки,50.0
2023-03-10 07:46:03.541,Люті пташки,50.0
2023-03-10 07:46:03.549,Люті пташки,1000.0
2023-03-10 07:46:03.594,Люті пташки,300.0
2023-03-10 07:46:03.607,Люті пташки,1000.0
2023-03-10 07:46:03.636,Люті пташки,30.0
2023-03-10 07:46:03.670,Люті пташки,100.0
2023-03-10 07:46:03.684,Люті пташки,15.0
2023-03-10 07:46:03.707,Люті пташки,300.0
2023-03-10 07:46:03.753,Люті пташки,30.0
2023-03-10 07:46:03.761,Люті пташки,1000.0
2023-03-10 07:46:03.786,Люті пташки,100.0
2023-03-10 07:46:03.835,Люті пташки,13.0
2023-03-10 07:46:03.842,Люті пташки,300.0
2023-03-10 07:46:03.870,Люті пташки,500.0
2023-03-10 07:46:03.906,Люті пташки,100.0
2023-03-10 07:46:03.918,Люті пташки,46.67
2023-03-10 07:46:03.950,Люті пташки,500.0
2023-03-10 07:46:03.999,Люті пташки,250.0
2023-03-10 07:51:03.057,Люті пташки,50.0
2023-03-10 07:51:03.072,Люті пташки,70.0
2023-03-10 07:51:03.135,Люті пташки,300.0
2023-03-10 07:51:03.185,Люті пташки,200.0
2023-03-10 07:51:03.218,Люті пташки,200.0
2023-03-10 07:51:03.265,Люті пташки,30.0
2023-03-10 07:51:03.293,Люті пташки,40.0
2023-03-10 07:51:03.337,Люті пташки,20.0
2023-03-10 07:51:03.369,Люті пташки,1000.0
2023-03-10 07:51:03.421,Люті пташки,30.0
2023-03-10 07:51:03.445,Люті пташки,200.0
2023-03-10 07:51:03.501,Люті пташки,50.0
2023-03-10 07:51:03.524,Люті пташки,1000.0
2023-03-10 07:51:03.580,Люті пташки,60.0
2023-03-10 07:51:03.604,Люті пташки,500.0
2023-03-10 07:51:03.658,Люті пташки,50.0
2023-03-10 07:51:03.680,Люті пташки,400.0
2023-03-10 07:51:03.740,Люті пташки,20.0
2023-03-10 07:51:03.763,Люті пташки,300.0
2023-03-10 07:51:03.823,Люті пташки,20.0
2023-03-10 07:51:03.838,Люті пташки,100.0
2023-03-10 07:51:03.894,Люті пташки,200.0
2023-03-10 07:51:03.913,Люті пташки,200.0
2023-03-10 07:51:03.978,Люті пташки,100.0
2023-03-10 07:51:03.998,Люті пташки,40.0
2023-03-10 07:54:03.159,Люті пташки,200.0
2023-03-10 07:56:03.028,Люті пташки,10.0
2023-03-10 07:56:03.044,Люті пташки,10.0
2023-03-10 07:56:03.104,Люті пташки,300.0
2023-03-10 07:56:03.123,Люті пташки,333.0
2023-03-10 07:56:03.185,Люті пташки,35.0
2023-03-10 07:56:03.198,Люті пташки,100.0
2023-03-10 07:56:03.234,Люті пташки,30.0
2023-03-10 07:56:03.266,Люті пташки,100.0
2023-03-10 07:56:03.319,Люті пташки,50.11
2023-03-10 07:56:03.341,Люті пташки,200.0
2023-03-10 07:56:03.400,Люті пташки,100.0
2023-03-10 07:56:03.416,Люті пташки,10.0
2023-03-10 07:56:03.475,Люті пташки,400.0
2023-03-10 07:56:03.494,Люті пташки,200.0
2023-03-10 07:56:03.560,Люті пташки,50.0
2023-03-10 07:56:03.571,Люті пташки,50.0
2023-03-10 07:56:03.639,Люті пташки,100.0
2023-03-10 07:56:03.648,Люті пташки,100.0
2023-03-10 07:56:03.720,Люті пташки,150.0
2023-03-10 07:56:03.729,Люті пташки,500.0
2023-03-10 07:56:03.793,Люті пташки,200.0
2023-03-10 07:56:03.812,Люті пташки,25.0
2023-03-10 07:56:03.873,Люті пташки,50.0
2023-03-10 07:56:03.888,Люті пташки,100.0
2023-03-10 07:56:03.947,Люті пташки,500.0
2023-03-10 07:56:03.966,Люті пташки,169.41
2023-03-10 08:02:03.064,Люті пташки,300.0
2023-03-10 08:02:03.076,Люті пташки,50.0
2023-03-10 08:02:03.143,Люті пташки,100.0
2023-03-10 08:02:03.220,Люті пташки,243.85
2023-03-10 08:02:03.278,Люті пташки,100.0
2023-03-10 08:02:03.301,Люті пташки,64.0
2023-03-10 08:02:03.363,Люті пташки,500.0
2023-03-10 08:02:03.378,Люті пташки,200.0
2023-03-10 08:02:03.435,Люті пташки,100.0
2023-03-10 08:02:03.452,Люті пташки,500.0
2023-03-10 08:02:03.516,Люті пташки,200.0
2023-03-10 08:02:03.533,Люті пташки,1000.0
2023-03-10 08:02:03.596,Люті пташки,1000.0
2023-03-10 08:02:03.609,Люті пташки,250.0
2023-03-10 08:02:03.680,Люті пташки,70.0
2023-03-10 08:02:03.686,Люті пташки,100.0
2023-03-10 08:02:03.752,Люті пташки,200.0
2023-03-10 08:02:03.764,Люті пташки,200.0
2023-03-10 08:02:03.828,Люті пташки,200.0
