Date,Category,UAH
2023-07-04 12:31:00.043,Адмін,63561.0
2023-07-04 12:31:00.126,Адмін,5.0
2023-07-17 09:08:00.053,Адмін,5.0
2023-07-17 09:08:00.126,Адмін,4190.48
2023-07-17 09:08:00.202,Адмін,5.0
2023-07-17 09:08:00.281,Адмін,3428.57
2023-07-17 09:08:00.364,Адмін,5.0
2023-07-17 09:08:00.978,Адмін,285.71
2023-07-17 09:11:00.627,Адмін,38.33
2023-07-17 09:12:00.696,Адмін,15333.34
2023-07-19 06:02:00.077,Люті пташки,3377500.0
2023-07-19 06:02:00.956,Адмін,15.0
2023-07-19 06:02:00.997,Люті пташки,1713750.0
2023-07-19 07:22:00.825,Адмін,24.0
2023-07-26 09:54:00.614,Адмін,5.0
2023-07-26 09:54:00.824,Дрони для ТРО,18140.0
2023-07-31 07:22:00.170,Адмін,149.0
2023-07-31 09:57:00.519,Адмін,5.0
2023-07-31 09:57:00.606,Адмін,3771.43
2023-07-31 09:57:00.694,Адмін,5.0
2023-07-31 09:57:00.767,Адмін,4609.52
2023-07-31 09:57:00.778,Адмін,314.29
2023-07-31 09:57:00.847,Адмін,5.0
2023-07-31 09:59:00.795,Адмін,16866.66
2023-07-31 09:59:00.924,Адмін,42.17
2023-07-31 12:57:00.478,Адмін,15.0
2023-07-31 12:57:00.720,Люті пташки,2960000.0
2023-08-03 10:40:00.213,Адмін,15.0
2023-08-03 10:40:00.437,Дрони для ТРО,915000.0
2023-08-07 08:07:00.155,Адмін,21000.0
2023-08-07 08:07:00.212,Адмін,5.0
2023-08-07 08:07:00.286,Адмін,40707.0
2023-08-07 08:07:00.365,Адмін,5.0
2023-08-07 08:07:00.452,Адмін,30000.0
2023-08-07 08:07:00.519,Адмін,5.0
2023-08-15 07:53:00.563,Адмін,3443.48
2023-08-15 07:53:00.622,Адмін,5.0
2023-08-15 07:53:00.710,Адмін,4208.7
2023-08-15 07:53:00.776,Адмін,5.0
2023-08-15 07:53:00.861,Адмін,286.96
2023-08-15 07:53:00.935,Адмін,5.0
2023-08-15 07:55:00.035,Адмін,15400.0
2023-08-15 07:55:00.152,Адмін,38.5
2023-08-15 09:04:00.261,Адмін,15.0
2023-08-15 09:04:00.308,Люті пташки,3525000.0
2023-08-16 08:21:00.105,Адмін,13800.0
2023-08-18 09:59:00.844,Адмін,13800.0
2023-08-21 11:12:00.153,МЛПК,1066000.0
2023-08-28 12:01:00.534,1000 дронів для України,7515000.0
2023-08-31 05:02:00.023,Адмін,5.0
2023-08-31 05:02:00.796,Адмін,30000.0
2023-08-31 05:02:00.873,Адмін,5.0
2023-08-31 05:02:00.944,Адмін,30000.0
2023-08-31 05:07:00.058,Адмін,3756.52
2023-08-31 05:07:00.208,Адмін,4591.3
2023-08-31 05:07:00.226,Адмін,5.0
2023-08-31 05:07:00.295,Адмін,5.0
2023-08-31 05:07:00.903,Адмін,313.04
2023-08-31 05:07:00.978,Адмін,5.0
2023-08-31 05:08:00.738,Адмін,42.0
2023-08-31 05:09:00.811,Адмін,16800.0
2023-08-31 05:29:00.178,Адмін,29995.88
2023-08-31 05:29:00.252,Адмін,5.0
2023-08-31 10:13:00.488,Адмін,149.0
2023-09-04 08:54:00.890,Адмін,69348.0
2023-09-04 08:54:00.970,Адмін,5.0
2023-09-05 12:20:00.968,Лопати + Антени + Піротехніка + Планшети,174420.0
2023-09-06 09:03:00.272,Літай,99800.0
2023-09-06 09:03:00.884,Адмін,5.0
2023-09-08 08:54:00.307,Люті пташки,950000.0
2023-09-08 08:54:00.640,Адмін,15.0
2023-09-12 08:02:00.351,Івенти,2507.0
2023-09-12 08:02:00.926,Адмін,5.0
2023-09-12 10:53:00.049,Люті пташки,3525000.0
2023-09-12 10:53:00.528,Адмін,15.0
2023-09-13 11:58:00.167,Адмін,15.0
2023-09-13 11:58:00.191,Люті пташки,3552000.0
2023-09-14 11:50:00.023,Адмін,5.0
2023-09-14 11:50:00.187,МЛПК,533000.0
2023-09-14 11:50:00.397,Літай,53400.0
2023-09-15 08:04:00.539,Адмін,4609.52
2023-09-15 08:04:00.595,Адмін,5.0
2023-09-15 08:04:00.671,Адмін,314.29
2023-09-15 08:04:00.758,Адмін,5.0
2023-09-15 08:04:00.824,Адмін,3771.43
2023-09-15 08:04:00.901,Адмін,5.0
2023-09-15 08:08:00.479,Адмін,42.17
2023-09-15 08:09:00.555,Адмін,16866.66
2023-09-20 10:47:00.346,Адмін,15.0
2023-09-20 10:47:00.669,На захисті краси України,1929000.0
2023-09-20 10:47:00.743,На захисті краси України,1290000.0
2023-09-21 07:05:00.093,Адмін,63894.0
2023-09-21 07:05:00.169,Адмін,5.0
2023-09-29 06:19:00.044,Лопати + Антени + Піротехніка + Планшети,382000.0
2023-09-29 06:19:00.168,На захисті краси України,44000.0
2023-09-29 06:19:00.468,Адмін,5.0
2023-09-29 06:19:00.533,Адмін,5.0
2023-09-29 06:19:00.604,Адмін,15.0
2023-09-29 06:19:00.986,Літай,47600.0
2023-09-29 10:15:00.026,Адмін,149.0
2023-09-29 10:31:00.370,Адмін,7341.43
2023-09-29 10:31:00.463,Адмін,5.0
2023-09-29 10:31:00.526,Адмін,8972.86
2023-09-29 10:31:00.608,Адмін,5.0
2023-09-29 10:31:00.680,Адмін,611.79
2023-09-29 10:31:00.754,Адмін,5.0
2023-09-29 10:36:00.215,Адмін,82.08
2023-09-29 10:37:00.743,Адмін,32832.5
2023-10-03 08:42:00.435,Адмін,35000.0
2023-10-03 08:42:00.498,Адмін,5.0
2023-10-03 08:42:00.578,Адмін,61105.0
2023-10-03 08:42:00.664,Адмін,5.0
2023-10-04 11:42:00.859,Адмін,31230.0
2023-10-04 11:42:00.922,Адмін,5.0
2023-10-12 12:27:00.476,Адмін,5.0
2023-10-12 12:27:00.834,,22000.0
2023-10-12 12:28:00.905,Адмін,4755.0
2023-10-16 12:13:00.326,Адмін,7335.0
2023-10-16 12:13:00.410,Адмін,5.0
2023-10-16 12:13:00.477,Адмін,8965.0
2023-10-16 12:13:00.558,Адмін,5.0
2023-10-16 12:13:00.641,Адмін,611.25
2023-10-16 12:13:00.709,Адмін,5.0
2023-10-16 12:16:00.485,Адмін,82.01
2023-10-16 12:17:00.557,Адмін,32803.75
2023-10-18 09:39:00.324,На захисті краси України,30000.0
2023-10-18 09:39:00.498,Адмін,5.0
2023-10-19 12:54:00.017,Victory Drones,192000.0
2023-10-19 12:54:00.103,Адмін,5.0
2023-10-19 12:54:00.169,Адмін,15.0
2023-10-19 12:54:00.255,Адмін,15.0
2023-10-19 12:54:00.778,Victory Drones,64000.0
2023-10-19 12:54:00.846,Victory Drones,112000.0
2023-10-19 12:54:00.927,Victory Drones,144000.0
2023-10-20 09:01:00.133,На захисті краси України,3216000.0
2023-10-20 09:01:00.727,Літай,15000.0
2023-10-20 09:01:00.875,Адмін,5.0
2023-10-20 09:01:00.941,Адмін,15.0
2023-10-24 05:56:00.032,Адмін,5826.0
2023-10-24 05:56:00.102,Адмін,5.0
2023-10-24 12:15:00.522,повернення коштів,1222.0
2023-10-31 07:07:00.463,Адмін,611.25
2023-10-31 07:07:00.532,Адмін,5.0
2023-10-31 07:07:00.613,Адмін,8965.0
2023-10-31 07:07:00.689,Адмін,5.0
2023-10-31 07:07:00.776,Адмін,7335.0
2023-10-31 07:07:00.854,Адмін,5.0
2023-10-31 07:09:00.056,Адмін,82.01
2023-10-31 07:10:00.141,Адмін,32803.75
2023-10-31 12:31:00.151,Адмін,15.0
2023-10-31 12:31:00.293,Адмін,5.0
2023-10-31 12:31:00.436,Victory Drones,96000.0
2023-10-31 12:31:00.510,Victory Drones,160000.0
2023-10-31 12:31:00.592,Victory Drones,48000.0
2023-10-31 12:51:00.640,Victory Drones,64000.0
2023-10-31 18:57:00.531,Адмін,149.0
2023-11-01 18:57:00.601,Обладнання,4059600.0
2023-11-03 12:38:00.244,Victory Drones,176000.0
2023-11-03 12:38:00.322,Victory Drones,160000.0
2023-11-03 12:38:00.392,Victory Drones,80000.0
2023-11-03 12:38:00.466,Victory Drones,80000.0
2023-11-03 12:38:00.549,Victory Drones,70400.0
2023-11-03 12:38:00.752,Адмін,15.0
2023-11-03 12:38:00.831,Адмін,15.0
2023-11-03 12:38:00.899,Адмін,5.0
2023-11-06 09:26:00.090,Адмін,5.0
2023-11-06 09:26:00.168,Адмін,30000.0
2023-11-06 09:26:00.239,Адмін,5.0
2023-11-06 09:26:00.608,На захисті краси України,20000.0
2023-11-07 11:23:00.007,Адмін,5.0
2023-11-07 11:23:00.367,Адмін,2498.0
2023-11-07 11:23:00.833,На захисті краси України,878.0
2023-11-07 11:23:00.907,На захисті краси України,50509.0
2023-11-08 08:24:00.258,Літай,2999.0
2023-11-08 08:24:00.552,Люті пташки,3216000.0
2023-11-08 08:24:00.934,Адмін,15.0
2023-11-08 10:53:00.027,Victory Drones,208000.0
2023-11-08 10:53:00.481,Адмін,5.0
2023-11-08 10:53:00.558,Адмін,15.0
2023-11-08 10:53:00.650,Victory Drones,64000.0
2023-11-08 10:53:00.730,Victory Drones,96000.0
2023-11-08 10:53:00.789,Victory Drones,128000.0
2023-11-08 10:53:00.876,Victory Drones,224000.0
2023-11-08 10:53:00.947,Victory Drones,160000.0
2023-11-09 11:15:00.048,Victory Drones,213850.0
2023-11-09 11:15:00.922,Адмін,15.0
2023-11-10 10:24:00.475,,382000.0
2023-11-10 10:24:00.802,Адмін,15.0
2023-11-13 09:07:00.433,Адмін,5.0
2023-11-13 09:07:00.559,Літай,38000.0
2023-11-14 09:53:00.326,Victory Drones,7000.0
2023-11-14 09:53:00.502,Адмін,5.0
2023-11-16 06:32:00.017,Victory Drones,80000.0
2023-11-16 06:32:00.078,Victory Drones,16180.0
2023-11-16 06:32:00.154,Victory Drones,256000.0
2023-11-16 06:32:00.236,Victory Drones,48000.0
2023-11-16 06:32:00.317,Victory Drones,36000.0
2023-11-16 06:32:00.397,Victory Drones,224000.0
2023-11-16 06:32:00.481,Victory Drones,90000.0
2023-11-16 06:32:00.551,Victory Drones,36000.0
2023-11-16 06:32:00.590,Адмін,5.0
2023-11-16 06:32:00.666,Адмін,5.0
2023-11-16 06:32:00.746,Адмін,5.0
2023-11-16 06:32:00.822,Адмін,5.0
2023-11-20 04:17:00.231,Адмін,5.0
2023-11-20 04:17:00.875,Літай,11544.0
2023-11-20 04:25:00.044,Адмін,1365.0
2023-11-20 04:25:00.121,Адмін,5.0
2023-11-20 04:25:00.207,Адмін,16380.0
2023-11-20 04:25:00.278,Адмін,5.0
2023-11-20 04:25:00.357,Адмін,20020.0
2023-11-20 04:25:00.440,Адмін,5.0
2023-11-20 04:28:00.389,Адмін,183.14
2023-11-20 04:29:00.465,Адмін,73255.0
2023-11-20 07:37:00.333,Адмін,15.0
2023-11-20 07:37:00.833,Люті пташки,1600000.0
2023-11-21 11:00:00.400,Літай,35717.92
2023-11-21 11:00:00.852,Адмін,5.0
2023-11-21 11:11:00.164,Адмін,3878.0
2023-11-22 06:46:00.435,Адмін,5.0
2023-11-22 06:46:00.603,Літай,18400.0
2023-11-23 06:06:00.492,Лопати + Антени + Піротехніка + Планшети,305600.0
2023-11-23 06:06:00.969,Адмін,15.0
2023-11-23 08:48:00.171,Адмін,420.0
2023-11-27 07:32:00.391,,3738.0
2023-11-27 11:13:00.381,Victory Drones,96000.0
2023-11-27 11:13:00.456,Victory Drones,96000.0
2023-11-28 09:24:00.516,,3690000.0
2023-11-28 09:24:00.637,Адмін,15.0
2023-11-28 10:14:00.195,Адмін,15.0
2023-11-28 10:14:00.481,,1200000.0
